Id,Name,Occurrences,Interests
_eKqQ_IAAAAJ,Johanna Rothman,1,"['management', 'project/program management', 'project portfolio management', 'agile', 'hiring']"
H7PB1LYAAAAJ,Alan Eberhardt,1,['biomechanics']
tQ-W0UUAAAAJ,Ophelia Johnson Wells,1,"['Virtual Reality', 'Devices', 'Machine Learning', 'Education', 'STEAM']"
rMQEH9wAAAAJ,Dr. Andrew P. Friesen,1,"['Sport psychology', 'emotion regulation', 'applied research', 'group dynamics']"
YhRRAkwAAAAJ,Kenneth De Meuse,1,"['Leadership Development', 'High Potential Talent', 'Organizational Downsizing', 'Teams']"
-MDHFe0AAAAJ,Jeffrey Clark Joe,1,[]
nsdtOb4AAAAJ,Johanna Oxstrand,1,['Human Factors']
sMuNA8EAAAAJ,Anne Haugen Gausdal,1,"['Trust and trust building', 'inter-organizational networks', 'safety leadership', 'emergency management', 'workplace']"
sJcvpzkAAAAJ,Isabel C. Moura,2,"['Teamwork and High-performing teams', 'Improving teaching and learning', 'Computer science education']"
uOQVq3UAAAAJ,Caroline Dominguez,2,"['critical thinking', 'higher education', 'project management', 'process management', 'industrial management']"
GdqB_HoAAAAJ,João Varajão,2,['Information Systems and Project Management']
O9CN5ZEAAAAJ,"Muhammad Taufiq Amir, Ph.D",1,"['Positive organizational scholarship', 'Positive Leadership', 'Corporate Entrepreneurship']"
S078Z_EAAAAJ,Kara Dawson,1,"['Educational technologies and teacher education', 'Educational technologies and professional development', 'Educational technologies']"
WdZQ0O8AAAAJ,Cathy Cavanaugh,1,['Learning environments for students and educators']
Wmq8HEEAAAAJ,Christopher Sessums,1,['learning + design + innovation']
TshOVxIAAAAJ,Erik W Black,1,"['Interprofessional Education', 'Health Professions Education', 'Assessment and Evaluation', 'Pediatrics']"
c39Ti9AAAAAJ,Kirk Astroth,1,"['Youth development', 'youth programs', '4-H', 'curriculum']"
11tVPhkAAAAJ,Sayyed Rashid Shah,1,"['Teacher Leadership', 'Teacher Development']"
DbhzeTUAAAAJ,ZURAIDAH JULIANA MOHAMAD YUSOFF,1,"['education management', 'leadership', 'motivation', 'organisation management']"
nR09y0gAAAAJ,Yahya  Don,1,['school leadership and managerial psychology']
mQ2kLisAAAAJ,Siti Noor Ismail,1,['Quality in Education']
kbIQXiAAAAAJ,Steve Portenga,1,"['Performance pressure', 'Neuroscience of high performance', 'Technology and behavior change', 'Biofeedback']"
bMMVe8YAAAAJ,Mark Aoyagi,1,['Sport & Performance Psychology']
y2eRG1YAAAAJ,Som Sekhar Bhattacharyya,1,['Strategy and Entrepreneurship']
vGtAAcYAAAAJ,Prof. Sumi Jha,1,"['Strategic Leadership', 'Employee Empowerment', 'Workplace loneliness']"
kQowEq0AAAAJ,Jeffrey Buller,1,"['administration', 'leadership', 'classics', 'professional development']"
4sHtI0AAAAAJ,Silvia Lizett Olivares Olivares,1,"['Educación Médica', 'Calidad']"
VRcTzqgAAAAJ,Joann Farrell Quinn,1,"['leadership', 'emotional and social competencies', 'identity', 'professionalism', 'physician leadership']"
f3lZungAAAAJ,Elizabeth Boling,1,"['design pedagogy', 'design research', 'design knowledge', 'visual design for learning']"
sZ_nSuIAAAAJ,Martin A Siegel,1,"['design pedagogy', 'interaction design', 'experience design', 'computer based education', 'digital learning environment']"
0f-naLMAAAAJ,Michael Waterman,1,['Agile software development']
mQmTGUoAAAAJ,Sheila Simsarian Webber,1,[]
enCEqlgAAAAJ,Jodi Detjen,1,[]
3U_p_gIAAAAJ,Tammy MacLean,1,[]
